"code" "movie_title" "point"
"1" "17421" "쇼생크 탈출" "9.40"
"2" "10200" "터미네이터 2" "9.39"
"3" "24452" "매트릭스" "9.38"
"4" "22126" "인생은 아름다워" "9.38"
"5" "17170" "레옹" "9.38"
"6" "10002" "빽 투 더 퓨쳐" "9.38"
"7" "10048" "죽은 시인의 사회" "9.37"
"8" "17159" "포레스트 검프" "9.37"
"9" "69105" "월-E" "9.37"
"10" "10016" "나 홀로 집에" "9.37"
"11" "32686" "센과 치히로의 행방불명" "9.36"
"12" "31796" "반지의 제왕: 왕의 귀환" "9.36"
"13" "66463" "토이 스토리 3" "9.36"
"14" "10102" "사운드 오브 뮤직" "9.36"
"15" "18988" "라이언 일병 구하기" "9.36"
"16" "35901" "살인의 추억" "9.36"
"17" "17541" "굿바이 마이 프랜드" "9.36"
"18" "82432" "헬프" "9.36"
"19" "29217" "글래디에이터" "9.36"
"20" "134899" "동주" "9.35"
"21" "147092" "히든 피겨스" "9.35"
"22" "14448" "패왕별희" "9.35"
"23" "10038" "에이리언 2" "9.35"
"24" "130850" "주토피아" "9.35"
"25" "125724" "빌리 엘리어트 뮤지컬 라이브" "9.35"
"26" "16210" "미세스 다웃파이어" "9.35"
"27" "35939" "클래식" "9.35"
"28" "76667" "울지마 톤즈" "9.34"
"29" "31795" "반지의 제왕: 두 개의 탑" "9.34"
"30" "12482" "여인의 향기" "9.34"
"31" "73372" "세 얼간이" "9.34"
"32" "146534" "자백" "9.34"
"33" "10114" "아마데우스" "9.34"
"34" "73476" "그대를 사랑합니다" "9.34"
"35" "18543" "서유기 2 - 선리기연" "9.34"
"36" "89752" "오페라의 유령 : 25주년 특별 공연" "9.33"
"37" "87566" "언터처블: 1%의 우정" "9.33"
"38" "31162" "캐스트 어웨이" "9.33"
"39" "70457" "드래곤 길들이기" "9.33"
"40" "14450" "쉰들러 리스트" "9.33"
"41" "19079" "굿 윌 헌팅" "9.32"
"42" "13008" "알라딘" "9.32"
"43" "34324" "집으로..." "9.32"
"44" "28788" "바이센테니얼 맨" "9.32"
"45" "19303" "모노노케 히메" "9.32"
"46" "75470" "라푼젤" "9.32"
"47" "25915" "아이언 자이언트" "9.32"
"48" "39636" "지금, 만나러 갑니다" "9.32"
"49" "62586" "다크 나이트" "9.32"
"50" "29657" "프리퀀시" "9.31"
"51" "10105" "사랑은 비를 타고" "9.31"
"52" "103535" "소원" "9.31"
"53" "47528" "해리 포터와 죽음의 성물 - 2부" "9.31"
"54" "10249" "모던 타임즈" "9.31"
"55" "37886" "클레멘타인" "9.31"
"56" "39584" "코러스" "9.31"
"57" "25266" "타잔" "9.31"
"58" "18782" "천공의 성 라퓨타" "9.30"
"59" "79762" "세상에서 가장 아름다운 이별" "9.30"
"60" "17135" "더 록" "9.30"
"61" "34227" "아이 엠 샘" "9.30"
"62" "10341" "위대한 독재자" "9.30"
"63" "17153" "토이 스토리" "9.30"
"64" "35187" "피아니스트" "9.30"
"65" "10021" "록키" "9.30"
"66" "19099" "트루먼 쇼" "9.30"
"67" "35100" "스피릿" "9.30"
"68" "34181" "오세암" "9.30"
"69" "70651" "내 이름은 칸" "9.30"
"70" "52120" "업" "9.30"
"71" "29571" "천국의 아이들" "9.30"
"72" "142304" "뚜르: 내 생애 최고의 49일" "9.30"
"73" "17869" "일급 살인" "9.30"
"74" "51172" "지상의 별처럼" "9.29"
"75" "71081" "블라인드 사이드" "9.29"
"76" "10001" "시네마 천국" "9.29"
"77" "13500" "쥬라기 공원 3D" "9.29"
"78" "16216" "취권 2" "9.29"
"79" "31794" "반지의 제왕: 반지 원정대" "9.29"
"80" "17441" "아기공룡 둘리 - 얼음별 대모험" "9.29"
"81" "65021" "라따뚜이" "9.29"
"82" "12270" "나 홀로 집에 2 - 뉴욕을 헤매다" "9.29"
