[기간환율변동],,,,,,,,,,
,,,,,,,,,,
조회시작일, 2017-08-01 ,,,,,,,,,
조회종료일, 2018-06-18 ,,,,,,,,,
통화, GBP:파운드(영국) ,,,,,,,,,
고시회차, 최초 ,,,,,,,,,
조회시각, 2018-06-18 14:28 ,,,,,,,,,
,,,,,,,,,,
일자,현찰사실때,현찰파실때,송금보내실때,송금받으실때,T/C사실때,외화수표파실때,매매기준율,직전대비,환가료율,미화환산율
 2017-08-01 ,"1,509.73","1,451.41","1,495.37","1,465.77","1,502.77","1,464.87","1,480.57",0,2.2273,1.3197
 2017-08-02 ,"1,505.97","1,447.79","1,491.64","1,462.12","1,499.03","1,461.22","1,476.88",-3.69,2.2288,1.321
 2017-08-03 ,"1,514.51","1,456.01","1,500.11","1,470.41","1,507.53","1,469.51","1,485.26",8.38,2.2295,1.3223
 2017-08-04 ,"1,511.14","1,452.76","1,496.76","1,467.14","1,504.17","1,466.24","1,481.95",-3.31,2.2301,1.3143
 2017-08-07 ,"1,497.46","1,439.60","1,483.21","1,453.85","1,490.55","1,452.96","1,468.53",-13.42,2.2245,1.3049
 2017-08-08 ,"1,498.21","1,440.33","1,483.96","1,454.58","1,491.30","1,453.69","1,469.27",0.74,2.225,1.3034
 2017-08-09 ,"1,491.14","1,433.54","1,476.96","1,447.72","1,484.27","1,446.83","1,462.34",-6.93,2.2251,1.2994
 2017-08-10 ,"1,505.38","1,447.22","1,491.06","1,461.54","1,498.44","1,460.65","1,476.30",13.96,2.2245,1.301
 2017-08-11 ,"1,509.79","1,451.47","1,495.43","1,465.83","1,502.83","1,464.93","1,480.63",4.33,2.2223,1.2975
 2017-08-14 ,"1,520.36","1,461.62","1,505.89","1,476.09","1,513.35","1,475.19","1,490.99",10.36,2.2246,1.3007
 2017-08-16 ,"1,493.25","1,435.57","1,479.05","1,449.77","1,486.37","1,448.88","1,464.41",-26.58,2.2254,1.2866
 2017-08-17 ,"1,498.40","1,440.52","1,484.15","1,454.77","1,491.50","1,453.88","1,469.46",5.05,2.2264,1.2895
 2017-08-18 ,"1,491.10","1,433.50","1,476.92","1,447.68","1,484.23","1,446.79","1,462.30",-7.16,2.2276,1.2873
 2017-08-21 ,"1,498.70","1,440.80","1,484.44","1,455.06","1,491.79","1,454.17","1,469.75",7.45,2.2263,1.287
 2017-08-22 ,"1,496.80","1,438.98","1,482.56","1,453.22","1,489.90","1,452.33","1,467.89",-1.86,2.2263,1.2895
 2017-08-23 ,"1,484.92","1,427.56","1,470.80","1,441.68","1,478.08","1,440.80","1,456.24",-11.65,2.2263,1.2824
 2017-08-24 ,"1,476.58","1,419.54","1,462.54","1,433.58","1,469.78","1,432.70","1,448.06",-8.18,2.2263,1.2804
