행정구역(시군구)별,2020. 04,2020. 04,2020. 04
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,51842524,25857509,25985015
서울특별시,9726787,4737843,4988944
종로구,150936,73563,77373
중구,126126,61770,64356
용산구,229369,110604,118765
성동구,298249,145833,152416
광진구,350016,169213,180803
동대문구,345793,171621,174172
중랑구,395072,195784,199288
성북구,442174,213743,228431
강북구,312691,152594,160097
도봉구,330707,161581,169126
노원구,530302,256344,273958
은평구,477973,230057,247916
서대문구,312809,150069,162740
마포구,374426,176856,197570
양천구,457132,224563,232569
강서구,588281,284543,303738
구로구,405271,200239,205032
금천구,232396,117935,114461
영등포구,372225,184446,187779
동작구,394988,191207,203781
관악구,498978,250442,248536
서초구,429729,205452,224277
강남구,543240,259936,283304
송파구,672862,325127,347735
강동구,455042,224321,230721
부산광역시,3408347,1671199,1737148
중구,41714,20451,21263
서구,107722,52251,55471
동구,89673,44003,45670
영도구,115645,57014,58631
부산진구,356978,172703,184275
동래구,272570,132883,139687
남구,271674,133034,138640
북구,289059,143102,145957
해운대구,405268,195412,209856
사하구,318196,158716,159480
금정구,236904,115861,121043
강서구,131235,67825,63410
연제구,210086,101425,108661
수영구,176984,83743,93241
사상구,216507,109497,107010
기장군,168132,83279,84853
대구광역시,2431523,1200899,1230624
중구,76955,37064,39891
동구,343568,169428,174140
서구,173807,87167,86640
남구,147905,71130,76775
북구,436863,217681,219182
수성구,428125,207610,220515
달서구,567375,280296,287079
달성군,256925,130523,126402
인천광역시,2950972,1478916,1472056
중구,137994,71389,66605
동구,63866,32239,31627
미추홀구,406690,204942,201748
연수구,371396,184733,186663
남동구,531526,264348,267178
부평구,505236,250187,255049
계양구,300885,150250,150635
서구,543994,274644,269350
강화군,69030,34609,34421
옹진군,20355,11575,8780
광주광역시,1456096,720536,735560
동구,98622,48743,49879
서구,300093,147198,152895
남구,217543,104745,112798
북구,433057,215038,218019
광산구,406781,204812,201969
대전광역시,1471650,734902,736748
동구,225094,113487,111607
중구,239361,118212,121149
서구,481304,237012,244292
유성구,350439,176924,173515
대덕구,175452,89267,86185
울산광역시,1144098,587902,556196
중구,221125,112157,108968
남구,323230,164885,158345
동구,158323,82795,75528
북구,218364,112960,105404
울주군,223056,115105,107951
세종특별자치시,345216,172176,173040
세종시,345216,172176,173040
경기도,13311254,6696531,6614723
수원시,1192622,600616,592006
장안구,276611,139377,137234
권선구,370955,187190,183765
팔달구,175446,88408,87038
영통구,369610,185641,183969
성남시,941527,466119,475408
수정구,234653,118680,115973
중원구,219155,111002,108153
분당구,487719,236437,251282
의정부시,454222,223765,230457
안양시,561069,277727,283342
만안구,241999,121239,120760
동안구,319070,156488,162582
부천시,826845,410678,416167
광명시,315745,155900,159845
평택시,520649,268331,252318
동두천시,94191,47015,47176
안산시,653575,335033,318542
상록구,348512,177678,170834
단원구,305063,157355,147708
고양시,1074853,526681,548172
덕양구,472467,233744,238723
일산동구,299276,145716,153560
일산서구,303110,147221,155889
과천시,59687,29341,30346
구리시,199018,98816,100202
남양주시,706069,351837,354232
오산시,227550,117610,109940
시흥시,478464,250312,228152
군포시,275954,137034,138920
의왕시,164701,82049,82652
하남시,279621,140443,139178
용인시,1068519,530251,538268
